Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,POS,NEG,NEU,target
16,1222241238092582914,1222241227548045316,1580239993000.0,2020-01-28 14:33:13,-500,,"Ministra @EHinostrozaP: ""Trabajamos en brindar atención de calidad. Por eso, hoy entregamos una parte de todo el equipamiento con el que se fortalecerá el primer nivel de atención en los establecimientos de @dirislimanorte""  https://t.co/pNTpsxD7xv",es,[],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,14,https://twitter.com/Minsa_Peru/status/1222241238092582914,[],['https://pbs.twimg.com/media/EPZF7GsX4AALKJk.jpg'],1,https://pbs.twimg.com/media/EPZF7GsX4AALKJk.jpg,False,4,1,0,,None,,,,,,,[],,,,,0.8158064484596252,0.012517223134636879,0.17167626321315765,POS
17,1222241227548045316,1222241227548045316,1580239991000.0,2020-01-28 14:33:11,-500,,Desde #Independencia │ Mejoramos los servicios de salud. La ministra @EHinostrozaP entrega equipamiento moderno a establecimientos de salud de @DirisLimaNorte para elevar la calidad de la atención. #TuSaludPrimero  https://t.co/CK4LS2E1kL,es,"['independencia', 'tusaludprimero']",[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,14,https://twitter.com/Minsa_Peru/status/1222241227548045316,[],['https://pbs.twimg.com/media/EPZF6coWkAEohBr.jpg'],1,https://pbs.twimg.com/media/EPZF6coWkAEohBr.jpg,False,16,2,4,,None,,,,,,,[],,,,,0.8947018384933472,0.009400022216141224,0.09589814394712448,POS
32,1233130926697304064,1233130923794845697,1582836298000.0,2020-02-27 15:44:58,-500,,También constató la operatividad del servicio de Telesalud que ofrece atención médica a los ciudadanos en tiempo real. El acceso a la tecnología permitió que se conecten con el Hospital Juanjuí II-E.  https://t.co/R1d52omTCe,es,[],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,4,15,https://twitter.com/Minsa_Peru/status/1233130926697304064,[],['https://pbs.twimg.com/media/ERz0pRcWkAAO_yM.jpg'],1,https://pbs.twimg.com/media/ERz0pRcWkAAO_yM.jpg,False,4,0,1,,None,,,,,,,[],,,,,0.754752516746521,0.00901725608855486,0.23623020946979523,POS
34,1233100540827049987,1233100540827049987,1582829053000.0,2020-02-27 13:44:13,-500,,En el Día del Tecnólogo Médico saludamos a los profesionales por su gran labor y dedicación para contribuir en el bienestar y la mejora de la salud de los peruanos. ¡Felicidades! 👏  https://t.co/yN3Kvi69IJ,es,[],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,4,13,https://twitter.com/Minsa_Peru/status/1233100540827049987,[],['https://pbs.twimg.com/media/ERzaVoKX0AAPfkw.jpg'],1,https://pbs.twimg.com/media/ERzaVoKX0AAPfkw.jpg,False,47,3,16,,None,,,,,,,[],,,,,0.9114751815795898,0.007422080263495445,0.08110272884368896,POS
64,1255271689119846401,1255271689119846401,1588115067000.0,2020-04-28 18:04:27,-500,,"#LaSaludNosUne Un total de 1.2 toneladas de equipos de protección personal, medicamentos y pruebas rápidas llegaron a Iquitos hoy. Además, una brigada técnica y dos médicos viajaron con el objetivo de fortalecer las acciones para enfrentar el #COVID19.   📲 https://t.co/txl4vH1WN1  https://t.co/HaguPYh00Z",es,"['lasaludnosune', 'covid19']",[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,18,https://twitter.com/Minsa_Peru/status/1255271689119846401,['https://bit.ly/2WlIqKf'],"['https://pbs.twimg.com/media/EWue3v3XkAABObV.jpg', 'https://pbs.twimg.com/media/EWue4SKXgAAlGqn.jpg']",1,https://pbs.twimg.com/media/EWue3v3XkAABObV.jpg,False,323,21,72,,None,,,,,,,[],,,,,0.7115405797958374,0.02636340819299221,0.2620960474014282,POS
65,1255259605367742464,1255234473685286912,1588112186000.0,2020-04-28 17:16:26,-500,,"Ministro @victorzamora: Continuaremos con nuestros esfuerzos para que ninguna región se vea colapsada. Loreto sigue trabajando y poniendo más camas a disposición de la población, además se han enviado 29 profesionales de la salud para apoyar en la lucha contra el #COVID19.  https://t.co/O2WqyEYKcS",es,['covid19'],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,17,https://twitter.com/Minsa_Peru/status/1255259605367742464,[],['https://pbs.twimg.com/media/EWuT2SlXQAU9dpw.jpg'],1,https://pbs.twimg.com/media/EWuT2SlXQAU9dpw.jpg,False,74,18,11,,None,,,,,,,[],,,,,0.5447404384613037,0.0197527427226305,0.4355068802833557,POS
67,1255259602041667585,1255234473685286912,1588112185000.0,2020-04-28 17:16:25,-500,,"Ministro @victorzamora: Negamos tajantemente que los datos del Minsa sean pocos transparentes o manipulados, estos son de fácil acceso. El ejercicio de la transparencia es necesario para todo funcionario público y una herramienta poderosa para luchar contra la corrupción.  https://t.co/qXP2kd7mIf",es,[],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,17,https://twitter.com/Minsa_Peru/status/1255259602041667585,[],['https://pbs.twimg.com/media/EWuTtUfWoAcqOmr.jpg'],1,https://pbs.twimg.com/media/EWuTtUfWoAcqOmr.jpg,False,32,1,8,,None,,,,,,,[],,,,,0.004180744756013155,0.6602442860603333,0.3355749547481537,NEG
71,1255142969817968649,1255142969817968649,1588084378000.0,2020-04-28 09:32:58,-500,,"#AmaDonaVive │ ¡Gracias a tu solidaridad, seguimos salvando vidas! Encuéntranos en nuestros nuevos puntos de donación de sangre hasta el sábado 9 de mayo, de 9:00 a. m. a 2:00 p. m.  https://t.co/VT4nuQNvX2",es,['amadonavive'],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,2,9,https://twitter.com/Minsa_Peru/status/1255142969817968649,[],['https://pbs.twimg.com/media/EWspzyRUYAEQmit.jpg'],1,https://pbs.twimg.com/media/EWspzyRUYAEQmit.jpg,False,352,19,130,,None,,,,,,,[],,,,,0.7501978278160095,0.014992556534707546,0.23480959236621857,POS
83,1254502907061456897,1254502898450534401,1587931775000.0,2020-04-26 15:09:35,-500,,"Ministro @victorzamora: Se destacó a Loreto 29 profesionales de la salud, entre ellos médicos y enfermeras. Todos los sistemas del país compartimos esfuerzos para lograr la atención necesaria a pacientes.  https://t.co/2LNAG5qRls",es,[],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,7,15,https://twitter.com/Minsa_Peru/status/1254502907061456897,[],['https://pbs.twimg.com/media/EWjjvdPXYAARsaK.jpg'],1,https://pbs.twimg.com/media/EWjjvdPXYAARsaK.jpg,False,12,1,8,,None,,,,,,,[],,,,,0.49790915846824646,0.03364172205328941,0.46844911575317383,POS
86,1254192767095447558,1254192767095447558,1587857832000.0,2020-04-25 18:37:12,-500,,"¡El trabajo de todos es importante! Gracias a la labor que realiza el Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud, hoy se logró distribuir a las regiones 120 000 mascarillas para que nuestros #HéroesDeLaSalud desarrollen su trabajo de forma segura.  https://t.co/MWOWwYJQbq",es,['héroesdelasalud'],[],138471254,138471254,Minsa_Peru,Ministerio de Salud,6,18,https://twitter.com/Minsa_Peru/status/1254192767095447558,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1254192040365219842/pu/img/SDi8MgEh4vh1quvp.jpg,False,334,26,71,,None,,,,,,,[],,,,,0.7770138382911682,0.007283868733793497,0.2157023400068283,POS
