Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,tweet,tweet_sentence,len_sentence,username,date,nlikes,tweet_word,len_word,POS,NEG,NEU,target,tweet_process
10,10,10,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",Riesgo clave del COVID-19 es brote en países con baja capacidad estatal.,5,AlfonsodlTorre,2020-02-28 10:36:23,2,"['Riesgo', 'clave', 'del', 'COVID-19', 'es', 'brote', 'en', 'países', 'con', 'baja', 'capacidad', 'estatal', '.']",13,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG,Riesgo clave del COVID-19 es brote en países con baja capacidad estatal.
11,11,11,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",China/Corea son países capaces de ejecutar planes de contención.,5,AlfonsodlTorre,2020-02-28 10:36:23,2,"['China/Corea', 'son', 'países', 'capaces', 'de', 'ejecutar', 'planes', 'de', 'contención', '.']",10,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG,China/Corea son países capaces de ejecutar planes de contención.
12,12,12,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.","Un ejemplo es Irán, donde fatalidad del virus es + alta.",5,AlfonsodlTorre,2020-02-28 10:36:23,2,"['Un', 'ejemplo', 'es', 'Irán', ',', 'donde', 'fatalidad', 'del', 'virus', 'es', '+', 'alta', '.']",13,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG,"Un ejemplo es Irán, donde fatalidad del virus es + alta."
13,13,13,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",O no se detectan casos o cobertura médica es pobre.,5,AlfonsodlTorre,2020-02-28 10:36:23,2,"['O', 'no', 'se', 'detectan', 'casos', 'o', 'cobertura', 'médica', 'es', 'pobre', '.']",11,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG,O no se detectan casos o cobertura médica es pobre.
14,14,14,1.2334014533074002e+18,"Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna. Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????  https://t.co/fnbSssNtbp",Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna.,3,PierolaMarcelo,2020-02-28 09:39:56,6,"['Confirmado', 'el', 'primer', 'caso', 'de', 'coronavirus', 'covid-19', 'en', 'la', 'CDMX', '-', 'México', 'Brasil', 'confirmado', 'y', 'Peru', 'con', 'caso', 'sospechoso', 'en', 'Tacna', '.']",22,0.0011867767898365,0.9773697257041932,0.0214435141533613,NEG,Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna.
15,15,15,1.2334014533074002e+18,"Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna. Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????  https://t.co/fnbSssNtbp","Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????",3,PierolaMarcelo,2020-02-28 09:39:56,6,"['Siguen', 'llegando', 'pasajeros', 'chinos', 'de', 'México', 'y', 'Perú', ',', 'más', 'el', 'flujo', 'en', 'la', 'frontera', 'brasilera', ',', 'para', 'cuando', 'el', 'cierre', 'de', 'fronteras', '?', '?', '?', '?', '?', '?', '?']",30,0.0011867767898365,0.9773697257041932,0.0214435141533613,NEG,"Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????"
27,27,27,1.2447737784602337e+18,@meganoticiascl URGENTE PERU CIERRE DE FRONTERAS!! ECUADOR CHILE Y BRASIL ESTAN INFESTADOS EN CONTAGIOS DE COVID-19 PUEDEN ARRASAR CON TDA SUDAMERICA!! EL PEAK DE CONTAGIOS SE LES VIENE EN ABRIL!!!, @meganoticiascl URGENTE PERU CIERRE DE FRONTERAS!!,4,gato_sx,2020-03-30 18:49:30,1,"['@', 'meganoticiascl', 'URGENTE', 'PERU', 'CIERRE', 'DE', 'FRONTERAS', '!', '!']",9,0.0023238942958414,0.967743754386902,0.0299323350191116,NEG, @meganoticiascl URGENTE PERU CIERRE DE FRONTERAS!!
28,28,28,1.2447737784602337e+18,@meganoticiascl URGENTE PERU CIERRE DE FRONTERAS!! ECUADOR CHILE Y BRASIL ESTAN INFESTADOS EN CONTAGIOS DE COVID-19 PUEDEN ARRASAR CON TDA SUDAMERICA!! EL PEAK DE CONTAGIOS SE LES VIENE EN ABRIL!!!,ECUADOR CHILE Y BRASIL ESTAN INFESTADOS EN CONTAGIOS DE COVID-19 PUEDEN ARRASAR CON TDA SUDAMERICA!!,4,gato_sx,2020-03-30 18:49:30,1,"['ECUADOR', 'CHILE', 'Y', 'BRASIL', 'ESTAN', 'INFESTADOS', 'EN', 'CONTAGIOS', 'DE', 'COVID-19', 'PUEDEN', 'ARRASAR', 'CON', 'TDA', 'SUDAMERICA', '!', '!']",17,0.0023238942958414,0.967743754386902,0.0299323350191116,NEG,ECUADOR CHILE Y BRASIL ESTAN INFESTADOS EN CONTAGIOS DE COVID-19 PUEDEN ARRASAR CON TDA SUDAMERICA!!
29,29,29,1.2447737784602337e+18,@meganoticiascl URGENTE PERU CIERRE DE FRONTERAS!! ECUADOR CHILE Y BRASIL ESTAN INFESTADOS EN CONTAGIOS DE COVID-19 PUEDEN ARRASAR CON TDA SUDAMERICA!! EL PEAK DE CONTAGIOS SE LES VIENE EN ABRIL!!!,EL PEAK DE CONTAGIOS SE LES VIENE EN ABRIL!!,4,gato_sx,2020-03-30 18:49:30,1,"['EL', 'PEAK', 'DE', 'CONTAGIOS', 'SE', 'LES', 'VIENE', 'EN', 'ABRIL', '!', '!']",11,0.0023238942958414,0.967743754386902,0.0299323350191116,NEG,EL PEAK DE CONTAGIOS SE LES VIENE EN ABRIL!!
37,37,37,1.2447642673012777e+18,"@oppenheimera @elnuevoherald Estimado Andres No estas bien informado respecto a gobernantes en America Chile, Pinera, mala gestion respecto a covid 19 chilenos le reclaman por inaccion similar Argentina, AL parecer alli con cifras no realistas  Peru Oportuna reaccion frente AL covid 19, preponderando vida"," @oppenheimera @elnuevoherald Estimado Andres No estas bien informado respecto a gobernantes en America Chile, Pinera, mala gestion respecto a covid 19 chilenos le reclaman por inaccion similar Argentina, AL parecer alli con cifras no realistas Peru Oportuna reaccion frente AL covid 19, preponderando vida",1,eddycordova22,2020-03-30 18:11:42,1,"['@', 'oppenheimera', '@', 'elnuevoherald', 'Estimado', 'Andres', 'No', 'estas', 'bien', 'informado', 'respecto', 'a', 'gobernantes', 'en', 'America', 'Chile', ',', 'Pinera', ',', 'mala', 'gestion', 'respecto', 'a', 'covid', '19', 'chilenos', 'le', 'reclaman', 'por', 'inaccion', 'similar', 'Argentina', ',', 'AL', 'parecer', 'alli', 'con', 'cifras', 'no', 'realistas', 'Peru', 'Oportuna', 'reaccion', 'frente', 'AL', 'covid', '19', ',', 'preponderando', 'vida']",50,0.0002404588303761,0.997192919254303,0.0025666656438261,NEG," @oppenheimera @elnuevoherald Estimado Andres No estas bien informado respecto a gobernantes en America Chile, Pinera, mala gestion respecto a covid 19 chilenos le reclaman por inaccion similar Argentina, AL parecer alli con cifras no realistas Peru Oportuna reaccion frente AL covid 19, preponderando vida"
