Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,POS,NEG,NEU,target
0,1361684490939203590,1361683201845043200,1613485856000.0,2021-02-16 09:30:56,-500,,"Por ello, en nuestro Gobierno, sin duda ni murmuraciones, rescataremos al Estado de este secuestro cometido por  los grandes poderes económicos y entregaremos el poder al pueblo.   Llegó la hora de cambiar de raíz esté problema. Tú y yo, podemos hacerlo.   Palabra de Maestro",es,[],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,2,9,https://twitter.com/PedroCastilloTe/status/1361684490939203590,[],[],0,,False,46,3,11,,None,,,,,,,[],,,,,0.46646741032600403,0.014658045023679733,0.5188745260238647,NEU
1,1361684091716988929,1361683201845043200,1613485760000.0,2021-02-16 09:29:20,-500,,Políticos como Vizcarra y su «gente de confianza» confirma que ellos sólo están al servicios de los intereses de los empresarios y no de la gente. Por eso es su negociado con las vacunas chinas. Las menos efectivas y más caras. Esto debe acabar ahora. (3/4),es,[],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,2,9,https://twitter.com/PedroCastilloTe/status/1361684091716988929,[],[],0,,False,48,4,14,,None,,,,,,,[],,,,,0.00042197617585770786,0.9953392744064331,0.004238792695105076,NEG
2,1361683551448662018,1361683201845043200,1613485632000.0,2021-02-16 09:27:12,-500,,"Seamos claros: estás décadas de traición, corrupción y cinismo son los síntomas de este sistema neoliberal dedicado exclusivamente a la explotación de nuestra gente y de nuestros recursos para beneficios de unos cuantos canallas. (2/4)",es,[],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,2,9,https://twitter.com/PedroCastilloTe/status/1361683551448662018,[],[],0,,False,2,2,0,,None,,,,,,,[],,,,,0.0004953972529619932,0.9978957176208496,0.001608946011401713,NEG
3,1361683201845043200,1361683201845043200,1613485548000.0,2021-02-16 09:25:48,-500,,"La clase política ha traicionado nuevamente al pueblo peruano. Mientras ellos y sus familias gozaban en su festín de vacunas, llamadas «de cortesía»,  a nosotros nos exigían sacrificios que incluso costaba la vida de nuestros seres amados. #487Traidores (1/4)",es,['487traidores'],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,2,9,https://twitter.com/PedroCastilloTe/status/1361683201845043200,[],[],0,,False,67,3,25,,None,,,,,,,[],,,,,0.000442751741502434,0.9949170351028442,0.004640242084860802,NEG
4,1361511749913112579,1361510818651791361,1613444671000.0,2021-02-15 22:04:31,-500,,"#PilarMazzetti no solo recibió a la delegación de Sinopharm; si no que también se benefició de su cargo y recibió la vacuna, al igual que @MartinVizcarraC   Revelen la Lista de Vacunas VIP  Dónde esta el Ministerio Público  @FiscaliaPeru  #SagastiNoSeasCómplice #PalabraDeMaestro  https://t.co/1Fn4bO2iv3",es,"['pilarmazzetti', 'sagastinoseascómplice', 'palabrademaestro']",[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,1,22,https://twitter.com/PedroCastilloTe/status/1361511749913112579,[],['https://pbs.twimg.com/media/EuUO8x7XAAIr9c4.png'],1,https://pbs.twimg.com/media/EuUO8x7XAAIr9c4.png,False,39,6,7,,None,,,,,,,[],,,,,0.0035690777003765106,0.9235473275184631,0.07288359105587006,NEG
5,1361510818651791361,1361510818651791361,1613444449000.0,2021-02-15 22:00:49,-500,,"En setiembre de 2020 #PilarMazzetti recibió a los altos funcionarios de Sinopharm para ""apoyar"" el desarrollo del ensayo en su fase 3.  Hoy @FSagasti revela que 487 personas recibieron la Vacuna VIP, y dice con ""sorpresa"" lamenta que esté la exministra  https://t.co/NGCZBUJaeT",es,['pilarmazzetti'],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,1,22,https://twitter.com/PedroCastilloTe/status/1361510818651791361,[],['https://pbs.twimg.com/media/EuUNBBvXYAU9Af-.png'],1,https://pbs.twimg.com/media/EuUNBBvXYAU9Af-.png,False,23,3,5,,None,,,,,,,[],,,,,0.0102422796189785,0.15931127965450287,0.8304463624954224,NEU
6,1361343410418962435,1361341533476298755,1613404536000.0,2021-02-15 10:55:36,-500,,"Como candidato a la Presidencia, exijo la inmediata investigación por parte del Ministerio Público @FiscaliaPeru  #SagastiNoSeasCómplice  #PerúLibre #NoMásPobresEnUnPaísRico #PalabraDeMaestro  https://t.co/sPkP2Tu1oT",es,"['sagastinoseascómplice', 'perúlibre', 'nomáspobresenunpaísrico', 'palabrademaestro']",[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,1,10,https://twitter.com/PedroCastilloTe/status/1361343410418962435,[],['https://pbs.twimg.com/media/EuR2mSCWYAI-P2B.jpg'],1,https://pbs.twimg.com/media/EuR2mSCWYAI-P2B.jpg,False,36,6,7,,None,,,,,,,[],,,,,0.0024857704993337393,0.9404275417327881,0.057086750864982605,NEG
7,1361342022913728513,1361341533476298755,1613404205000.0,2021-02-15 10:50:05,-500,,@MartinVIzcarraC acusó a la prestigiosa Universidad @CayetanoHeredia de falsificar sus documentos ¿por qué no inició una denuncia?  Señor @FSagasti de poco sirve una Comisión investigadora a cargo del Ministro #OscarUgarte del @Minsa_Peru  https://t.co/alFkyiPCzH,es,['oscarugarte'],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,1,10,https://twitter.com/PedroCastilloTe/status/1361342022913728513,[],['https://pbs.twimg.com/media/EuR1PftXIAERgHE.png'],1,https://pbs.twimg.com/media/EuR1PftXIAERgHE.png,False,26,4,6,,None,,,,,,,[],,,,,0.0005086168530397117,0.9974912405014038,0.0020002229139208794,NEG
8,1361341533476298755,1361341533476298755,1613404088000.0,2021-02-15 10:48:08,-500,,"@MartinVizcarraC se valió del cargo de Presidente, para recibir la Vacuna de #Sinopharm y no informó al país, mientras el pueblo se asfixiaba.  Le mintió a todos los peruanos.  Abro hilo (🧵)  https://t.co/g4XbXPPZ71",es,['sinopharm'],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,1,10,https://twitter.com/PedroCastilloTe/status/1361341533476298755,[],['https://pbs.twimg.com/media/EuRzW-HWgAMgpNd.jpg'],1,https://pbs.twimg.com/media/EuRzW-HWgAMgpNd.jpg,False,46,2,13,,None,,,,,,,[],,,,,0.0007075389148667455,0.9874889254570007,0.01180351059883833,NEG
9,1377038602794844165,1377038602794844165,1617146561000.0,2021-03-30 18:22:41,-500,,"Peruanos, peruanas  Un breve extracto de mi participación en el Debate Presidencial  Marca el Lápiz por Pedro Castillo  #PalabraDeMaestro",es,['palabrademaestro'],[],1357969682683334657,1357969682683334657,PedroCastilloTe,Pedro Castillo Terrones,2,18,https://twitter.com/PedroCastilloTe/status/1377038602794844165,[],[],0,,False,222,32,46,https://twitter.com/noticias_tvperu/status/1377036428673159171,None,,,,,,,[],,,,,0.0066320826299488544,0.0018260295037180185,0.991541862487793,NEU
